name_match,name_steam,developer_steam,publisher_steam,price_steam,initialprice_steam,discount_steam,ccu,positive,owners_midpoint,approval_rate_steam,average_2weeks,name_gog,developer_gog,publisher_gog,price_gog,initialprice_gog,discount_gog,approval_rate_gog,name_epic,developer_epic,publisher_epic,price_epic,initialprice_epic,discount_epic,approval_rate_epic
7 days to die,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,121.99,121.99,0.0,17045.0,327889.0,15000000.0,88.61,788.0,,,,,,,,,,,,,,
a way out,,,,,,,,,,,,,,,,,,,A Way Out,Hazelight,Electronic Arts,159.0,159.0,0.0,
alan wake,,,,,,,,,,,,,,,,,,,Alan Wake Remastered,Remedy Entertainment,Epic Games Publishing,56.99,56.99,0.0,
alan wake 2,,,,,,,,,,,,,,,,,,,Alan Wake 2,Remedy Entertainment,Epic Games Publishing,225.0,225.0,0.0,
among us,Among Us,Innersloth,Innersloth,8.99,14.99,40.0,3832.0,643681.0,35000000.0,91.85,115.0,,,,,,,,Among Us,Innersloth,Innersloth,9.99,9.99,0.0,
anno 1404,,,,,,,,,,,,Anno 1404: Gold Edition,"Blue Byte, Related Designs",Ubisoft,17.49,34.99,50.0,88.0,,,,,,,
apex legends,Apex Legends,Respawn,Electronic Arts,0.0,0.0,0.0,124262.0,668053.0,150000000.0,67.14,609.0,,,,,,,,,,,,,,
arc raiders,,,,,,,,,,,,,,,,,,,ARC Raiders,Embark Studios,Embark Studios,171.8,171.8,0.0,
arcanum of steamworks and magick obscura,,,,,,,,,,,,Arcanum: Of Steamworks and Magick Obscura,Troika Games,Activision,11.99,11.99,0.0,92.0,,,,,,,
ark survival ascended,,,,,,,,,,,,,,,,,,,ARK: Survival Ascended,Studio Wildcard,Snail Games USA,220.0,220.0,0.0,
ark survival evolved,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",31.01,46.99,34.0,22170.0,612177.0,35000000.0,83.84,930.0,,,,,,,,ARK: Survival Evolved,Studio Wildcard,Unknown,39.99,39.99,0.0,
arma 3,Arma 3,Bohemia Interactive,Bohemia Interactive,99.99,99.99,0.0,7181.0,256128.0,15000000.0,90.42,876.0,,,,,,,,,,,,,,
assassins creed odyssey,,,,,,,,,,,,,,,,,,,Assassins Creed Odyssey Standard Edition,Ubisoft Entertainment,Unknown,179.99,179.99,0.0,
assassins creed origins,,,,,,,,,,,,,,,,,,,Assassin's Creed Origins Standard Edition,Ubisoft Entertainment,Unknown,179.99,179.99,0.0,
assassins creed shadows,,,,,,,,,,,,,,,,,,,Assassin’s Creed Shadows,Ubisoft Entertainment,Ubisoft Entertainment,349.99,349.99,0.0,
assassins creed valhalla,,,,,,,,,,,,,,,,,,,Assassin's Creed® Valhalla Standard Edition,Ubisoft Entertainment,Unknown,199.99,199.99,0.0,
